Month,Total_Orders,Total_Revenue,Active_Customers,Avg_Order_Value
2023-01,750,4596719.99,324,6128.96
2023-02,576,3734698.36,275,6483.85
2023-03,624,3908121.82,290,6263.02
2023-04,675,5216907.81,299,7728.75
2023-05,736,4975135.24,333,6759.69
2023-06,789,5129046.97,345,6500.69
2023-07,651,4625103.62,305,7104.61
2023-08,653,3342873.55,294,5119.26
2023-09,703,4097541.12,321,5828.65
2023-10,718,4693042.6,327,6536.27
2023-11,709,4238648.53,327,5978.35
2023-12,747,4835856.98,326,6473.7
2024-01,712,4057900.9,324,5699.3
2024-02,681,4324712.63,289,6350.53
2024-03,722,5622390.94,314,7787.25
2024-04,693,4971952.53,292,7174.53
2024-05,676,4462266.45,295,6600.99
2024-06,722,6115105.74,306,8469.68
2024-07,1305,8670945.56,449,6644.4
2024-08,1450,8512134.59,476,5870.44
2024-09,1299,7911424.73,458,6090.4
2024-10,1427,8143196.78,483,5706.51
2024-11,5069,32789597.08,664,6468.65
2024-12,5144,32587953.33,668,6335.14
