CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00001,323,14,49861.78,3,4,4,344,Loyal Customers
CUST00002,410,2,1146.92,2,1,1,211,Hibernating
CUST00003,193,7,83337.31999999999,3,3,4,334,Loyal Customers
CUST00004,377,3,14086.62,2,1,2,212,Hibernating
CUST00005,17,17,69011.61,4,4,4,444,Champions
CUST00006,8,27,86409.12,5,5,4,554,Champions
CUST00007,1,17,46589.05,5,4,3,543,Loyal Customers
CUST00008,523,1,7871.4,1,1,1,111,Lost
CUST00009,412,8,48762.62,2,3,3,233,Hibernating
CUST00010,443,10,30687.0,2,3,3,233,Hibernating
CUST00011,3,55,152202.45,5,5,5,555,Champions
CUST00012,506,2,6661.84,1,1,1,111,Lost
CUST00013,462,1,5529.54,2,1,1,211,Hibernating
CUST00014,193,8,25684.59,3,3,3,333,Loyal Customers
CUST00015,35,27,175717.45,4,5,5,455,Champions
CUST00016,1,31,132966.0,5,5,5,555,Champions
CUST00017,109,20,75044.11,4,5,4,454,Champions
CUST00018,181,6,10888.220000000001,3,2,2,322,Need Attention
CUST00019,6,8,25155.86,5,3,3,533,Loyal Customers
CUST00020,211,13,74544.43000000001,3,4,4,344,Loyal Customers
CUST00021,185,3,2926.8,3,1,1,311,Hibernating
CUST00022,17,20,283305.23,4,5,5,455,Champions
CUST00023,6,12,37849.17,5,4,3,543,Loyal Customers
CUST00024,214,14,100858.45,3,4,4,344,Loyal Customers
CUST00025,30,6,11133.46,4,2,2,422,New Customers
CUST00026,433,6,8238.22,2,2,2,222,Hibernating
CUST00027,10,17,402903.16,5,4,5,545,Champions
CUST00028,660,3,3926.35,1,1,1,111,Lost
CUST00029,381,5,7517.36,2,2,1,221,Hibernating
CUST00030,14,33,120108.88,5,5,5,555,Champions
CUST00031,695,3,6446.18,1,1,1,111,Lost
CUST00032,3,15,29954.05,5,4,3,543,Loyal Customers
CUST00033,17,25,196781.93,4,5,5,455,Champions
CUST00034,297,1,1759.49,3,1,1,311,Hibernating
CUST00035,438,1,3347.07,2,1,1,211,Hibernating
CUST00036,706,1,2453.73,1,1,1,111,Lost
CUST00037,106,14,45672.310000000005,4,4,3,443,Loyal Customers
CUST00038,20,19,73603.77,4,5,4,454,Champions
CUST00039,236,6,20558.57,3,2,2,322,Need Attention
CUST00040,207,12,35409.840000000004,3,4,3,343,Loyal Customers
CUST00041,14,25,83997.75,5,5,4,554,Champions
CUST00042,200,10,144680.13,3,3,5,335,Loyal Customers
CUST00043,2,42,505659.87,5,5,5,555,Champions
CUST00044,625,1,1408.34,1,1,1,111,Lost
CUST00045,69,10,63247.36,4,3,4,434,Loyal Customers
CUST00046,572,2,4130.29,1,1,1,111,Lost
CUST00047,42,13,131587.46,4,4,5,445,Champions
CUST00048,452,4,16947.67,2,2,2,222,Hibernating
CUST00049,428,5,37533.62,2,2,3,223,Hibernating
CUST00050,1,15,77567.99,5,4,4,544,Champions
CUST00051,449,1,781.0,2,1,1,211,Hibernating
CUST00052,389,11,306782.09,2,4,5,245,At Risk
CUST00053,527,1,91708.25,1,1,4,114,Lost
CUST00054,627,1,530.99,1,1,1,111,Lost
CUST00055,456,4,11290.5,2,2,2,222,Hibernating
CUST00056,480,1,10434.39,2,1,2,212,Hibernating
CUST00057,9,23,134534.9,5,5,5,555,Champions
CUST00058,3,17,64990.229999999996,5,4,4,544,Champions
CUST00059,6,29,91326.48,5,5,4,554,Champions
CUST00060,226,10,203749.94999999998,3,3,5,335,Loyal Customers
CUST00061,192,8,34697.48,3,3,3,333,Loyal Customers
CUST00062,317,9,28826.620000000003,3,3,3,333,Loyal Customers
CUST00063,550,3,8474.11,1,1,2,112,Lost
CUST00064,186,10,21763.97,3,3,2,332,Need Attention
CUST00065,288,11,32504.75,3,4,3,343,Loyal Customers
CUST00066,367,2,5852.59,2,1,1,211,Hibernating
CUST00067,26,25,54264.99,4,5,4,454,Champions
CUST00068,628,1,3325.43,1,1,1,111,Lost
CUST00069,2,19,87661.27,5,5,4,554,Champions
