CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,City,State,Country
CUST00001,323,14,49861.78,3,4,4,344,Loyal Customers,Kochi,Kerala,India
CUST00002,410,2,1146.92,2,1,1,211,Hibernating,Surat,Gujarat,India
CUST00003,193,7,83337.31999999999,3,3,4,334,Loyal Customers,Gurgaon,Haryana,India
CUST00004,377,3,14086.62,2,1,2,212,Hibernating,Amritsar,Punjab,India
CUST00005,17,17,69011.61,4,4,4,444,Champions,New Delhi,Delhi,India
CUST00006,8,27,86409.12,5,5,4,554,Champions,Ludhiana,Punjab,India
CUST00007,1,17,46589.05,5,4,3,543,Loyal Customers,Panipat,Haryana,India
CUST00008,523,1,7871.4,1,1,1,111,Lost,Salem,Tamil Nadu,India
CUST00009,412,8,48762.62,2,3,3,233,Hibernating,Pune,Maharashtra,India
CUST00010,443,10,30687.0,2,3,3,233,Hibernating,Surat,Gujarat,India
CUST00011,3,55,152202.45,5,5,5,555,Champions,New Delhi,Delhi,India
CUST00012,506,2,6661.84,1,1,1,111,Lost,Howrah,West Bengal,India
CUST00013,462,1,5529.54,2,1,1,211,Hibernating,Nashik,Maharashtra,India
CUST00014,193,8,25684.59,3,3,3,333,Loyal Customers,Hyderabad,Telangana,India
CUST00015,35,27,175717.45,4,5,5,455,Champions,Kozhikode,Kerala,India
CUST00016,1,31,132966.0,5,5,5,555,Champions,Chennai,Tamil Nadu,India
CUST00017,109,20,75044.11,4,5,4,454,Champions,Madurai,Tamil Nadu,India
CUST00018,181,6,10888.220000000001,3,2,2,322,Need Attention,Delhi,Delhi,India
CUST00019,6,8,25155.86,5,3,3,533,Loyal Customers,Thiruvananthapuram,Kerala,India
CUST00020,211,13,74544.43000000001,3,4,4,344,Loyal Customers,Kolkata,West Bengal,India
CUST00021,185,3,2926.8,3,1,1,311,Hibernating,Kozhikode,Kerala,India
CUST00022,17,20,283305.23,4,5,5,455,Champions,Kochi,Kerala,India
CUST00023,6,12,37849.17,5,4,3,543,Loyal Customers,Coimbatore,Tamil Nadu,India
CUST00024,214,14,100858.45,3,4,4,344,Loyal Customers,Surat,Gujarat,India
CUST00025,30,6,11133.46,4,2,2,422,New Customers,Chennai,Tamil Nadu,India
CUST00026,433,6,8238.22,2,2,2,222,Hibernating,Ahmedabad,Gujarat,India
CUST00027,10,17,402903.16,5,4,5,545,Champions,Faridabad,Haryana,India
CUST00028,660,3,3926.35,1,1,1,111,Lost,Bikaner,Rajasthan,India
CUST00029,381,5,7517.36,2,2,1,221,Hibernating,Surat,Gujarat,India
CUST00030,14,33,120108.88,5,5,5,555,Champions,Noida,Uttar Pradesh,India
CUST00031,695,3,6446.18,1,1,1,111,Lost,Amritsar,Punjab,India
CUST00032,3,15,29954.05,5,4,3,543,Loyal Customers,Kolkata,West Bengal,India
CUST00033,17,25,196781.93,4,5,5,455,Champions,Jaipur,Rajasthan,India
CUST00034,297,1,1759.49,3,1,1,311,Hibernating,Mysuru,Karnataka,India
CUST00035,438,1,3347.07,2,1,1,211,Hibernating,Delhi,Delhi,India
CUST00036,706,1,2453.73,1,1,1,111,Lost,Udaipur,Rajasthan,India
CUST00037,106,14,45672.310000000005,4,4,3,443,Loyal Customers,Kozhikode,Kerala,India
CUST00038,20,19,73603.77,4,5,4,454,Champions,Agra,Uttar Pradesh,India
CUST00039,236,6,20558.57,3,2,2,322,Need Attention,Rajkot,Gujarat,India
CUST00040,207,12,35409.840000000004,3,4,3,343,Loyal Customers,Nagpur,Maharashtra,India
CUST00041,14,25,83997.75,5,5,4,554,Champions,Lucknow,Uttar Pradesh,India
CUST00042,200,10,144680.13,3,3,5,335,Loyal Customers,Noida,Uttar Pradesh,India
CUST00043,2,42,505659.87,5,5,5,555,Champions,Kolkata,West Bengal,India
CUST00044,625,1,1408.34,1,1,1,111,Lost,Thane,Maharashtra,India
CUST00045,69,10,63247.36,4,3,4,434,Loyal Customers,Mumbai,Maharashtra,India
CUST00046,572,2,4130.29,1,1,1,111,Lost,Chennai,Tamil Nadu,India
CUST00047,42,13,131587.46,4,4,5,445,Champions,New Delhi,Delhi,India
CUST00048,452,4,16947.67,2,2,2,222,Hibernating,Kanpur,Uttar Pradesh,India
CUST00049,428,5,37533.62,2,2,3,223,Hibernating,Jodhpur,Rajasthan,India
CUST00050,1,15,77567.99,5,4,4,544,Champions,Amritsar,Punjab,India
CUST00051,449,1,781.0,2,1,1,211,Hibernating,Panipat,Haryana,India
CUST00052,389,11,306782.09,2,4,5,245,At Risk,Rajkot,Gujarat,India
CUST00053,527,1,91708.25,1,1,4,114,Lost,Varanasi,Uttar Pradesh,India
CUST00054,627,1,530.99,1,1,1,111,Lost,Chennai,Tamil Nadu,India
CUST00055,456,4,11290.5,2,2,2,222,Hibernating,Chandigarh,Punjab,India
CUST00056,480,1,10434.39,2,1,2,212,Hibernating,Chennai,Tamil Nadu,India
CUST00057,9,23,134534.9,5,5,5,555,Champions,Kochi,Kerala,India
CUST00058,3,17,64990.229999999996,5,4,4,544,Champions,Nagpur,Maharashtra,India
CUST00059,6,29,91326.48,5,5,4,554,Champions,Madurai,Tamil Nadu,India
CUST00060,226,10,203749.94999999998,3,3,5,335,Loyal Customers,Kanpur,Uttar Pradesh,India
CUST00061,192,8,34697.48,3,3,3,333,Loyal Customers,Jodhpur,Rajasthan,India
CUST00062,317,9,28826.620000000003,3,3,3,333,Loyal Customers,Chennai,Tamil Nadu,India
CUST00063,550,3,8474.11,1,1,2,112,Lost,Warangal,Telangana,India
CUST00064,186,10,21763.97,3,3,2,332,Need Attention,Jaipur,Rajasthan,India
CUST00065,288,11,32504.75,3,4,3,343,Loyal Customers,Warangal,Telangana,India
CUST00066,367,2,5852.59,2,1,1,211,Hibernating,Coimbatore,Tamil Nadu,India
CUST00067,26,25,54264.99,4,5,4,454,Champions,Mangalore,Karnataka,India
CUST00068,628,1,3325.43,1,1,1,111,Lost,Jodhpur,Rajasthan,India
CUST00069,2,19,87661.27,5,5,4,554,Champions,Lucknow,Uttar Pradesh,India
CUST00070,723,2,1731.82,1,1,1,111,Lost,Lucknow,Uttar Pradesh,India
CUST00071,506,3,17510.85,1,1,2,112,Lost,Mangalore,Karnataka,India
CUST00072,12,19,91076.44,5,5,4,554,Champions,Salem,Tamil Nadu,India
CUST00073,6,41,143107.36,5,5,5,555,Champions,Hyderabad,Telangana,India
CUST00074,440,1,1540.2,2,1,1,211,Hibernating,Udaipur,Rajasthan,India
CUST00075,391,4,15964.609999999999,2,2,2,222,Hibernating,Panipat,Haryana,India
CUST00076,511,10,20691.65,1,3,2,132,Hibernating,Madurai,Tamil Nadu,India
CUST00077,395,6,9116.97,2,2,2,222,Hibernating,Chandigarh,Punjab,India
CUST00078,9,27,141091.59,5,5,5,555,Champions,Faridabad,Haryana,India
CUST00079,236,14,157189.54,3,4,5,345,Loyal Customers,Amritsar,Punjab,India
CUST00080,10,22,112320.44,5,5,4,554,Champions,Bengaluru,Karnataka,India
CUST00081,283,2,5639.8,3,1,1,311,Hibernating,Bengaluru,Karnataka,India
CUST00082,284,7,13882.15,3,3,2,332,Need Attention,Kochi,Kerala,India
CUST00083,253,15,38063.270000000004,3,4,3,343,Loyal Customers,Ludhiana,Punjab,India
CUST00084,3,26,198532.61,5,5,5,555,Champions,Thane,Maharashtra,India
CUST00085,65,6,26253.36,4,2,3,423,New Customers,Kozhikode,Kerala,India
CUST00086,147,14,45000.64,3,4,3,343,Loyal Customers,Howrah,West Bengal,India
CUST00087,358,4,9725.949999999999,2,2,2,222,Hibernating,Faridabad,Haryana,India
CUST00088,393,5,11870.94,2,2,2,222,Hibernating,Hyderabad,Telangana,India
CUST00089,471,1,1067.14,2,1,1,211,Hibernating,Kolkata,West Bengal,India
CUST00090,147,10,34080.34,3,3,3,333,Loyal Customers,Chandigarh,Punjab,India
CUST00091,2,18,113820.20000000001,5,5,4,554,Champions,Kanpur,Uttar Pradesh,India
CUST00092,190,3,109988.41,3,1,4,314,Hibernating,Hubli,Karnataka,India
CUST00093,519,7,11163.09,1,3,2,132,Hibernating,Howrah,West Bengal,India
CUST00094,382,8,25584.97,2,3,3,233,Hibernating,Agra,Uttar Pradesh,India
CUST00095,623,3,16444.82,1,1,2,112,Lost,Lucknow,Uttar Pradesh,India
CUST00096,89,10,74446.23000000001,4,3,4,434,Loyal Customers,Kochi,Kerala,India
CUST00097,472,6,23785.62,2,2,3,223,Hibernating,New Delhi,Delhi,India
CUST00098,179,14,100328.52,3,4,4,344,Loyal Customers,Vadodara,Gujarat,India
CUST00099,1,53,219326.99,5,5,5,555,Champions,Faridabad,Haryana,India
CUST00100,9,20,73816.14,5,5,4,554,Champions,Thiruvananthapuram,Kerala,India
CUST00101,1,63,247786.32,5,5,5,555,Champions,Ahmedabad,Gujarat,India
CUST00102,204,2,964.82,3,1,1,311,Hibernating,Warangal,Telangana,India
CUST00103,164,17,286617.95,3,4,5,345,Loyal Customers,Kolkata,West Bengal,India
CUST00104,422,4,36975.65,2,2,3,223,Hibernating,Faridabad,Haryana,India
CUST00105,682,4,7568.12,1,2,1,121,Lost,Hyderabad,Telangana,India
CUST00106,165,8,73298.08,3,3,4,334,Loyal Customers,Gurgaon,Haryana,India
CUST00107,132,7,11147.83,4,3,2,432,Need Attention,Durgapur,West Bengal,India
CUST00108,425,4,54656.479999999996,2,2,4,224,Hibernating,Hyderabad,Telangana,India
CUST00109,87,9,141545.87,4,3,5,435,Loyal Customers,Kolkata,West Bengal,India
CUST00110,19,25,99879.45,4,5,4,454,Champions,Kochi,Kerala,India
CUST00111,46,14,67273.4,4,4,4,444,Champions,Varanasi,Uttar Pradesh,India
CUST00112,6,31,84867.93000000001,5,5,4,554,Champions,Mysuru,Karnataka,India
CUST00113,376,5,108617.04999999999,2,2,4,224,Hibernating,Hyderabad,Telangana,India
CUST00114,352,1,16280.76,3,1,2,312,Hibernating,Howrah,West Bengal,India
CUST00115,461,10,44112.49,2,3,3,233,Hibernating,Bengaluru,Karnataka,India
CUST00116,540,2,5576.35,1,1,1,111,Lost,Jodhpur,Rajasthan,India
CUST00117,347,1,2832.27,3,1,1,311,Hibernating,Howrah,West Bengal,India
CUST00118,5,17,137597.53,5,4,5,545,Champions,Pune,Maharashtra,India
CUST00119,649,1,530.38,1,1,1,111,Lost,Ahmedabad,Gujarat,India
CUST00120,375,6,17480.75,2,2,2,222,Hibernating,Kozhikode,Kerala,India
CUST00121,584,2,48959.36,1,1,4,114,Lost,Agra,Uttar Pradesh,India
